buuid,txn_vol,accepted_txn,failed_txn,capital_granted
1490638042203-5685b1fc-339e-405d-8466-c007c70ace75,95126.0,134,40,1
1490638042203-5685b1fc-339e-405d-8466-c007c70ace75,124682.0,178,29,1
1491577633611-c44a8b4c-bff5-4ea8-8b2f-fa1e1f346082,715130.0,5626,390,1
1491577633611-c44a8b4c-bff5-4ea8-8b2f-fa1e1f346082,715130.0,5626,390,1
1501061615770-c2c8b0df-da97-4f09-8efc-044d0092c6d1,71460.0,188,29,1
1503681645154-57f85518-0739-45d6-8b23-6b7ea357f14c,61799.5,844,131,1
1507300995779-15354f1c-5158-456d-b3ac-21e9f27c742e,274027.05,444,29,1
1509444747142-f431e1e8-5f64-4ce3-8d2a-3d6137c2c9e5,434435.0,205,98,1
1510265298562-837ed523-ba40-4897-8a46-f9b34cf23bfe,52192.619999999995,545,137,1
1510906988095-9ddef4f8-d50e-417d-92a1-45ac1ae0b479,51803.01,404,385,1
1512393944646-bc6f1db2-1b57-43c6-839e-ae7cd7f7434b,94845.5,590,91,1
1513260992333-74dc500e-4a9a-4463-8cd5-8f828e4f1f7c,66886.9,1117,95,1
1513836515061-7ea19a1e-5051-4519-a82b-fb44954e2ec0,15088.0,148,32,1
1517159165637-4234cb88-090f-41ad-8197-28686c44c207,79305.0,175,6,1
1518092828604-543ebb89-1fb0-4b01-948a-2e0bab29e546,75801.0,303,57,1
1518431996160-2d41c826-edee-4d94-a79b-47062d22d5cc,139645.2,45,3,1
1502398463555-6b72494c-2ac9-4b95-a8b3-87cfc2d74e98,61979.78,337,42,1
1448010304607-5dce5236-a322-4826-8aa1-3278c780357a,99226.0,119,14,1
1462278286483-3e92ddf0-fff1-4c95-920d-5f58eeacf5a8,619176.5,329,81,1
1465194982114-5e376287-4aee-4442-be0b-6e99da8a2b80,42974.0,57,13,1
1474456872760-a5bb19ee-3efe-4890-a785-aafa38cadc8a,1060081.07,2752,462,1
1495452293517-981a54e2-dc15-41f2-a730-9815ddd36b27,30800.0,94,11,1
1496140241969-26910f88-5653-47fb-a4f1-1e6edd62da7b,24712.0,14,2,1
1479758256398-50cddf21-3a8e-44ad-9e89-a4e67a2a9612,62320.0,151,16,1
1498634728326-ba84a9bb-fd05-4bac-9114-9e6e4c96e0ae,98520.0,207,161,1
1499865221924-5d797e1d-3230-45b8-9d84-b8a4de389f28,28285.23,171,75,1
1502362170276-b94af44d-0d73-4818-b614-292dc65f299a,57710.0,170,58,1
1502362170276-b94af44d-0d73-4818-b614-292dc65f299a,48740.0,144,42,1
1503207481393-8f52eacd-e337-4289-a8b4-8684da4825b1,90240.0,103,24,1
1502875054909-b5833d16-7e75-46c1-b068-e27bd15674fb,864417.0,174,119,1
1503331444000-dbff8749-5714-4f5e-a513-4488aaf79fa7,66900.0,100,30,1
1503331444000-dbff8749-5714-4f5e-a513-4488aaf79fa7,114920.0,169,48,1
1504862055951-5af56fa3-2516-436e-a133-04172130d08b,802583.9,3977,560,1
1504862055951-5af56fa3-2516-436e-a133-04172130d08b,377507.50000000006,2314,260,1
1499083186226-efab4d3e-28d2-492d-bb79-d39320aacd05,174861.0,579,174,1
1487422639045-21fcb49a-1a7c-4367-a130-16911a749fd1,660682.9,12304,1873,1
1487422639045-21fcb49a-1a7c-4367-a130-16911a749fd1,425344.6,7928,1672,1
1514793269531-268fb461-dd01-4025-866f-798ed3349558,177515.0,358,59,1
1519296149615-4e532519-c91d-44ed-8007-09aa4b6f16d4,515905.4,1884,208,1
1519296149615-4e532519-c91d-44ed-8007-09aa4b6f16d4,522976.6,1826,200,1
1521815192695-46d182e5-e781-4bed-ab13-4a10aa0952e9,66390.0,155,40,1
1521549615083-30674a4b-29ee-4f8e-a0a8-b4ff5034643d,20770.0,61,9,1
1524759195223-a61f1408-593c-48b2-938d-04cd257fc870,41455.0,55,15,1
1525334989098-5e520308-25fb-4f00-b2e2-8adabaeb874a,39709.0,89,13,1
1526468246573-1d87d444-b9bc-4b24-8591-a880e3f6142b,13309.99,36,5,1
1523109689628-29618d5f-900a-4838-a2e6-9478b6e542a3,48465.0,109,14,1
1446199911133-ffd463a3-9864-42c1-97a1-6d85811ac7bf,159006.5,75,31,1
1465748161482-3c0312f6-0d03-45f5-bab8-96aafbb8ae1b,45410.0,56,18,1
1465748161482-3c0312f6-0d03-45f5-bab8-96aafbb8ae1b,231686.0,80,26,1
1475575761198-8694c56c-72c2-4277-81b6-fc350e030642,34153.0,75,11,1
1479186352122-b626c88f-c706-459c-b22a-6eb9002ade57,2014631.8800000001,2442,308,1
1479186352122-b626c88f-c706-459c-b22a-6eb9002ade57,2014631.8800000001,2442,308,1
1489648940939-78766139-6048-40f3-b777-3af14c369efe,132048.0,174,42,1
1490596538096-35de070c-a5b6-498d-81f3-d52100c74263,22149.440000000002,37,5,1
1485364178329-42325630-a2c5-4da1-bae5-d5dfddde9d1b,12125.0,36,3,1
1499697127698-864e035a-64c2-4aa2-9544-565d6094b8b1,39310.0,523,68,1
1499957597619-50c6e68f-e628-41f8-b44f-79c9ec470b7d,191810.49,996,83,1
1501099168521-056603da-46be-4988-a1ed-a57ac46db7be,14420.0,43,7,1
1501680821448-190eeff4-b3d0-4674-9f69-3dc56692504b,65370.0,505,22,1
1503254335831-b1c0f512-daaf-465a-b110-ef97da9cd78e,17330.0,34,8,1
1501317362941-fc95dbc1-fb31-4eca-a26e-856373d6167d,109120.0,305,54,1
