txn_vol,accepted_txn,failed_txn,capital_granted
15290.0,34,12,1
47354.0,342,371,1
88588.0,206,16,1
39580.0,82,24,1
635033.98,221,67,1
61556.87,1008,279,1
25867.0,450,32,1
14661.46,208,108,1
212106.0,1136,64,1
41278.0,322,156,1
102645.0,27,6,1
39960.9,287,72,1
206690.0,537,49,1
102041.32,100,14,1
117788.1,829,372,1
35970.0,253,56,1
36516.56,480,107,1
127337.99,96,21,0
109788.0,324,49,0
16075.0,32,26,1
568203.0,3195,150,0
10005.0,63,73,1
15050.0,42,6,0
78174.6,1042,171,1
114410.0,981,102,1
39135.0,110,6,1
39799.55,141,16,1
11711.5,108,27,1
79310.0,178,48,1
10310.0,36,4,1
138810.0,77,9,1
35935.29,331,139,1
111393.9,1506,677,1
1060081.07,2752,462,0
41559.0,82,16,1
65155.0,202,28,1
13813.0,204,43,1
130193.0,36,34,1
514932.0,760,128,1
27209.0,128,25,1
44922.05,43,23,1
984151.0,3301,585,0
29856.0,124,49,1
11889.0,104,28,0
78998.75,848,105,1
148694.0,585,49,1
71261.85,135,27,0
18695.0,47,9,1
23675.5,271,65,1
22790.0,52,6,1
35480.0,219,77,1
17460.0,229,62,1
57875.0,85,9,1
66144.02,691,245,1
296501.43,53,9,1
150200.0,1063,143,1
28193.0,81,8,1
15680.0,89,43,1
8377.68,57,11,1
388966.47,1709,250,1
42515.0,102,9,1
182556.73,879,67,1
26507.0,378,83,1
177789.0,460,221,1
114726.5,281,35,1
62915.0,111,19,1
47602.0,286,217,1
1393070.0,1384,466,1
43495.19,311,167,1
28079.5,364,97,1
59952.5,234,43,0
111022.56,139,18,1
45349.99,94,73,1
16330.0,17,0,1
556335.0,212,99,1
1707206.4,16584,1152,0
35362.0,99,34,1
163271.0,498,54,1
39732.0,168,28,1
75778.0,266,46,1
1405768.5,1200,472,1
79107.82,1051,80,0
10797.5,153,135,1
227948.0,88,20,1
66871.73,90,7,1
30935.0,197,92,1
19633.0,127,19,1
32630.0,60,0,1
270134.0,2840,413,1
18983.5,66,11,1
24725.050000000003,22,1,1
32717.0,181,84,0
23378.51,86,8,1
210484.53,465,77,1
21071.0,119,61,1
471673.5,1800,332,1
37220.0,84,19,1
71873.17,1068,116,1
32176.5,250,106,1
47639.0,296,126,0
604075.0,1071,142,1
120855.0,1009,132,1
762577.95,2605,490,0
90472.0,1380,222,1
505963.9,2075,538,1
53597.5,221,30,1
32630.0,288,136,1
2180481.55,5129,941,1
40675.0,244,15,1
127051.0,707,211,1
26860.0,55,8,1
353257.4,3244,182,1
143515.0,1073,150,1
46270.5,49,29,1
485562.2,1887,451,1
56925.5,136,19,1
33913.1,40,37,1
144702.0,1219,134,1
27702.0,18,3,1
73074.8,704,414,1
52764.7,690,241,0
244953.7,863,46,1
81000.0,106,20,1
34700.0,80,17,1
20054.0,83,20,1
33201.24,368,247,1
33216.100000000006,209,24,1
262820.0,197,31,0
133975.0,394,91,1
50390.0,61,38,1
200395.36,391,29,1
186310.00000000003,1594,213,0
56227.3,364,79,1
105724.5,586,91,1
90472.0,1380,222,1
32394.0,170,102,1
296728.0,924,138,0
41654.59,127,19,1
82615.0,54,2,1
140076.0,1382,548,1
17880.0,55,8,1
79866.0,190,46,0
998233.88,4951,456,1
191857.8,1292,226,0
13940.0,41,13,0
64920.0,76,56,1
145628.0,296,55,1
58444.0,135,34,1
48146.6,230,14,1
377507.50000000006,2314,260,1
134604.5,606,44,1
66312.0,355,64,1
33380.0,101,49,0
49227.0,282,67,1
15433.0,50,20,1
336890.0,514,62,1
438950.53,515,105,1
71174.0,701,42,1
22870.0,231,124,1
388013.2,3104,1162,1
111129.9,276,70,1
14850.0,42,2,0
107505.0,188,33,1
56926.0,588,336,1
128888.88,1054,954,1
22070.0,27,8,1
20945.0,160,162,1
26625.0,80,15,1
77986.0,722,204,1
14250.0,125,44,1
230914.7,1458,774,0
147083.0,434,48,1
45210.3,312,56,1
27890.0,111,16,1
1263099.5,1476,169,1
58526.36000000001,444,39,1
84038.0,235,53,0
54165.5,102,23,1
82480.0,228,38,1
62320.0,151,16,1
52220.0,342,39,1
49551.60999999999,349,44,1
102619.4,1014,354,1
43448.0,98,46,1
21585.0,279,22,1
44920.0,52,74,1
195015.0,90,30,1
77520.0,546,117,0
39241.71,1151,299,1
26537.5,56,0,1
38700.0,18,2,1
277536.0,486,124,1
765500.56,7304,1824,0
224131.11,1288,320,1
47390.0,109,14,1
113611.0,139,7,1
7695.0,48,24,1
42974.0,57,13,1
828562.0,5443,1347,1
9298.0,88,46,1
62662.40000000001,280,43,1
22280.0,79,8,1
67176.5,162,35,1
196260.95,740,60,0
943342.99,4418,550,1
52647.22,162,31,1
493743.93,49,22,1
61994.99,87,26,1
206864.0,280,50,1
120190.16,1158,473,1
35820.0,136,9,1
278030.0,732,236,1
74580.0,47,5,1
57250.0,144,19,1
947077.2,3524,1290,1
81803.0,72,15,1
444182.06,4756,2610,1
34030.0,337,165,1
1301383.55,6115,4510,0
14630.0,65,2,1
15512.5,42,5,1
71937.0,376,103,1
323477.0,1597,448,1
90183.0,260,36,1
62838.22,215,29,1
31346.0,191,74,1
71500.5,88,9,1
327956.27,3714,520,1
72203.82,733,192,0
21654.7,80,21,1
33642.5,51,7,1
137869.0,871,407,1
36280.0,67,9,1
55979.0,940,178,0
14725.0,86,6,1
29746.0,98,20,1
30511.6,127,13,1
31570.0,98,7,1
34023.38,232,29,1
35455.0,159,14,1
903564.12,4262,434,0
194246.59,1666,200,1
93394.0,832,104,1
10309.5,134,47,1
11860.08,217,69,1
33173.0,177,10,1
1176395.3000000005,3794,468,0
20038.1,112,35,1
868309.1,1706,140,0
21215.0,111,64,1
107520.37,650,314,1
155133.5,1105,301,1
95952.0,32,16,1
391700.0,1709,239,1
26465.0,107,86,0
841277.44,156,34,1
18110.0,171,17,1
56527.0,63,5,1
45593.0,77,13,1
28500.0,115,13,1
655912.54,7428,1040,0
177943.0,426,86,1
111617.5,883,250,0
91145.0,160,16,1
1178955.0,508,77,0
294519.0,2200,953,1
21233.0,46,2,0
131852.0,518,68,1
73925.0,77,15,1
126054.0,223,114,1
15043.0,45,30,1
37270.5,81,1,1
14844.0,32,1,1
50360.0,117,26,1
60450.0,152,14,1
58023.5,567,58,1
38120.0,441,52,1
187970.0,1284,168,1
293710.15,1045,97,1
52256.5,465,256,1
123607.57,169,26,1
39084.5,136,13,1
13860.0,79,6,0
19246.0,133,28,1
72203.82,733,192,1
312559.5,719,102,0
42482.8,191,62,1
26973.0,77,21,1
905057.8,1786,408,0
614351.75,745,227,1
195958.7,2672,260,1
28875.950000000004,168,72,1
42911.0,108,33,1
44200.59999999999,175,26,1
46125.0,181,18,1
21735.0,43,17,0
31630.0,162,64,1
169254.75,197,38,0
346185.0,1331,423,1
195799.0,1213,240,1
1114541.78,8541,3140,1
831548.5,3006,389,1
50713.0,64,28,1
509081.6,693,73,1
20245.0,100,7,1
80304.0,1186,272,1
12861.5,561,172,1
37764.0,458,208,1
20640.0,64,29,1
186744.0,188,43,0
18460.0,288,31,1
336568.85,1104,446,1
13101.0,87,56,1
19192.0,172,43,1
553127.0,1546,386,1
71745.0,309,103,0
28410.0,81,17,1
27085.0,141,31,1
88038.78,770,246,1
90230.0,718,106,1
2455888.0,3420,385,0
108077.0,422,53,1
